Player,Year,Pos,Actual,Scrim,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Y/R,Rec TD,Catch%,Rush TD,Yards/att,Touch,Y/T,G,GS,cScrim,cTOT TD,cFmbl,cRec,cTgt,cAtt,cRush yds,cRec yds,cY/R,cRec TD,cCatch%,cRush TD,cY/A,cTouch,cY/T,cG,cGS
T.Y. Hilton,2019,WR,125.1,50.1,0.5,0.0,4.5,6.8,0.0,30.0,0.0,50.1,1.1099999999999999,0.5,6.62,0.0,0.0,4.5,1.1099999999999999,10.0,10.0,75.74787414965986,0.3731292517006803,0.0738095238095238,4.702295918367347,8.12389455782313,0.5202380952380953,0.0,75.22763605442177,1.0466581632653063,0.3731292517006803,3.7493112244897966,0.028571428571428574,0.03404761904761904,4.786819727891157,1.0343962585034014,15.428571428571429,12.428571428571429
T.Y. Hilton,2020,WR,162.2,50.8,0.3333333333333333,0.0,3.7333333333333334,6.2,0.0,31.0,0.0,50.8,0.9066666666666666,0.3333333333333333,4.013333333333334,0.0,0.0,3.7333333333333334,0.9066666666666666,15.0,15.0,72.54188988095238,0.38898809523809524,0.06458333333333333,4.6770089285714285,7.958407738095238,0.4552083333333333,0.0,72.08668154761905,1.054575892857143,0.38898809523809524,4.1081473214285715,0.025,0.029791666666666664,4.750967261904762,1.0438467261904762,14.75,12.125
T.Y. Hilton,2021,WR,74.1,33.1,0.3,0.0,2.3,3.7,0.0,32.0,0.0,33.1,1.44,0.3,6.220000000000001,0.0,0.0,2.3,1.44,10.0,9.0,70.12612433862434,0.3828042328042328,0.0574074074074074,4.5721560846560845,7.7630291005291,0.4046296296296296,0.0,69.72149470899471,1.0381415343915343,0.3828042328042328,4.097612433862434,0.022222222222222223,0.02648148148148148,4.637896825396826,1.0286044973544974,14.777777777777779,12.444444444444445
Jalen Reagor,2020,WR,75.2,38.36363636363637,0.09090909090909091,0.18181818181818182,2.8181818181818183,4.909090909090909,2.3636363636363638,21.0,0.0,36.0,1.1636363636363638,0.09090909090909091,5.218181818181818,0.18181818181818182,0.21818181818181817,3.1818181818181817,1.0999999999999999,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Reagor,2021,WR,74.1,19.470588235294116,0.11764705882352941,0.11764705882352941,1.9411764705882353,3.3529411764705883,1.8823529411764706,22.0,0.0,17.58823529411765,0.5352941176470588,0.11764705882352941,3.4058823529411764,0.17647058823529413,0.11176470588235293,2.5294117647058822,0.45294117647058824,17.0,13.0,38.36363636363637,0.09090909090909091,0.18181818181818182,2.8181818181818183,4.909090909090909,2.3636363636363638,0.0,36.0,1.1636363636363638,0.09090909090909091,5.218181818181818,0.18181818181818182,0.21818181818181817,3.1818181818181817,1.0999999999999999,11.0,11.0
Albert Okwuegbunam,2020,TE,29.1,30.25,0.25,0.0,2.75,3.75,0.0,22.0,0.0,30.25,2.75,0.25,18.325,0.0,0.0,2.75,2.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,2021,TE,76.0,23.571428571428573,0.14285714285714285,0.07142857142857142,2.357142857142857,2.857142857142857,0.0,23.0,0.0,23.571428571428573,0.7142857142857143,0.14285714285714285,5.892857142857143,0.0,0.0,2.357142857142857,0.7142857142857143,14.0,6.0,30.25,0.25,0.0,2.75,3.75,0.0,0.0,30.25,2.75,0.25,18.325,0.0,0.0,2.75,2.75,4.0,0.0
Damiere Byrd,2016,WR,2.6,16.0,0.0,0.0,1.0,1.0,0.0,23.0,0.0,16.0,16.0,0.0,100.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damiere Byrd,2017,WR,33.7,14.625,0.25,0.0,1.25,2.125,1.5,24.0,0.0,13.125,1.3125,0.25,7.35,0.125,0.1875,1.375,1.325,8.0,3.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,16.0,0.0,100.0,0.0,0.0,1.0,16.0,1.0,0.0
Damiere Byrd,2018,WR,1.8,1.0,0.0,0.0,0.125,0.25,0.0,25.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0.125,1.0,8.0,0.0,15.3125,0.125,0.0,1.125,1.5625,0.75,0.0,14.5625,8.65625,0.125,53.675,0.0625,0.09375,1.1875,8.6625,4.5,1.5
Damiere Byrd,2019,WR,71.9,32.63636363636363,0.09090909090909091,0.09090909090909091,2.909090909090909,4.181818181818182,0.0,26.0,0.0,32.63636363636363,1.018181818181818,0.09090909090909091,6.327272727272727,0.0,0.0,2.909090909090909,1.018181818181818,11.0,3.0,10.541666666666666,0.08333333333333333,0.0,0.7916666666666666,1.125,0.5,0.0,10.041666666666666,6.104166666666667,0.08333333333333333,37.86666666666667,0.041666666666666664,0.0625,0.8333333333333334,6.108333333333333,5.666666666666667,1.0
Damiere Byrd,2020,WR,108.9,38.6875,0.0625,0.1875,2.9375,4.8125,0.9375,27.0,0.0,37.75,0.80625,0.0625,3.8125,0.0625,0.05625,3.0625,0.7875,16.0,14.0,16.065340909090907,0.08522727272727273,0.022727272727272728,1.3210227272727273,1.8892045454545454,0.375,0.0,15.690340909090908,4.832670454545455,0.08522727272727273,29.98181818181818,0.03125,0.046875,1.3522727272727273,4.835795454545455,7.0,1.5
Damiere Byrd,2021,WR,62.9,19.352941176470587,0.058823529411764705,0.058823529411764705,1.5294117647058822,2.235294117647059,0.0,28.0,0.0,19.352941176470587,0.7470588235294118,0.058823529411764705,4.023529411764706,0.0,0.0,1.5294117647058822,0.7470588235294118,17.0,4.0,20.589772727272724,0.08068181818181819,0.055681818181818186,1.644318181818182,2.473863636363636,0.4875,0.0,20.102272727272727,4.027386363636364,0.08068181818181819,24.747954545454544,0.0375,0.04875,1.694318181818182,4.026136363636364,8.8,4.0
Chris Conley,2015,WR,42.900000000000006,12.4375,0.0625,0.0,1.0625,1.9375,0.0,23.0,0.0,12.4375,0.73125,0.0625,3.425,0.0,0.0,1.0625,0.73125,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Conley,2016,WR,95.0,33.125,0.0,0.0625,2.75,4.3125,0.0,24.0,0.0,33.125,0.75,0.0,3.9875,0.0,0.0,2.75,0.75,16.0,11.0,12.4375,0.0625,0.0,1.0625,1.9375,0.0,0.0,12.4375,0.73125,0.0625,3.425,0.0,0.0,1.0625,0.73125,16.0,5.0
Chris Conley,2017,WR,28.5,35.0,0.0,0.0,2.2,3.2,0.0,25.0,0.0,35.0,3.18,0.0,13.76,0.0,0.0,2.2,3.18,5.0,5.0,22.78125,0.03125,0.03125,1.90625,3.125,0.0,0.0,22.78125,0.740625,0.03125,3.70625,0.0,0.0,1.90625,0.740625,16.0,8.0
Chris Conley,2018,WR,91.4,20.875,0.3125,0.125,2.0,3.25,0.0,26.0,0.0,20.875,0.65,0.3125,3.84375,0.0,0.0,2.0,0.65,16.0,13.0,26.854166666666668,0.020833333333333332,0.020833333333333332,2.004166666666667,3.15,0.0,0.0,26.854166666666668,1.55375,0.020833333333333332,7.0575,0.0,0.0,2.004166666666667,1.55375,12.333333333333334,7.0
